Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
389,1,STEP,6626023990500,6626056455900,32465400,-1
390,1,STEP,6626057570900,6626078990600,21419700,-1
391,1,STEP,6626080365500,6626118630800,38265300,-1
392,1,STEP,6626120080300,6626145632100,25551800,-1
393,1,STEP,6626147244600,6626176083200,28838600,-1
394,1,STEP,6626177841900,6626204942700,27100800,-1
395,1,STEP,6626206555300,6626236519200,29963900,-1
396,1,STEP,6626237952300,6626269124200,31171900,-1
397,1,STEP,6626271797900,6626298811600,27013700,-1
398,1,STEP,6626300363100,6626337798500,37435400,-1
399,1,STEP,6626339139400,6626370956600,31817200,-1
400,1,STEP,6626372573000,6626396210100,23637100,-1
401,1,STEP,6626398404500,6626423539900,25135400,-1
402,1,STEP,6626432374700,6626464427100,32052400,-1
403,1,STEP,6626465907100,6626505304500,39397400,-1
404,1,STEP,6626506782600,6626544204800,37422200,-1
405,1,STEP,6626545878500,6626600419900,54541400,-1
406,1,STEP,6626601827900,6626645122500,43294600,-1
407,1,STEP,6626646557400,6626692294000,45736600,-1
408,1,STEP,6626694237100,6626727686000,33448900,-1
409,1,STEP,6626729130500,6626777841100,48710600,-1
410,1,STEP,6626779473700,6626807991800,28518100,-1
411,1,STEP,6626809838200,6626836854700,27016500,-1
412,1,STEP,6626838351300,6626864359300,26008000,-1
413,1,STEP,6626865770500,6626906522900,40752400,-1
414,1,STEP,6626908177700,6626931127800,22950100,-1
415,1,STEP,6626934159300,6626959849400,25690100,-1
416,1,STEP,6626961004100,6626987121400,26117300,-1
417,1,STEP,6626995864500,6627041572200,45707700,-1
418,1,STEP,6627042968800,6627076762200,33793400,-1
419,1,STEP,6627078204900,6627112666000,34461100,-1
420,1,STEP,6627114092000,6627144291700,30199700,-1
421,1,STEP,6627147496000,6627178983700,31487700,-1
422,1,STEP,6627180435400,6627215316600,34881200,-1
423,1,STEP,6627216759100,6627243404600,26645500,-1
424,1,STEP,6627244998400,6627274178400,29180000,-1
425,1,STEP,6627275388200,6627300763100,25374900,-1
426,1,STEP,6627302633600,6627335330000,32696400,-1
427,1,STEP,6627336734100,6627359875900,23141800,-1
428,1,STEP,6627363934300,6627410424100,46489800,-1
429,1,STEP,6627411813800,6627438657800,26844000,-1
430,1,STEP,6627440553100,6627467855400,27302300,-1
431,1,STEP,6627469246900,6627510552200,41305300,-1
432,1,STEP,6627513430600,6627547723500,34292900,-1
433,1,STEP,6627549288800,6627574798000,25509200,-1
434,1,STEP,6627576346400,6627597022100,20675700,-1
435,1,STEP,6627600169300,6627619956700,19787400,-1
436,1,STEP,6627621454000,6627653927000,32473000,-1
437,1,STEP,6627655076300,6627680015300,24939000,-1
438,1,STEP,6627681387900,6627722730300,41342400,-1
439,1,STEP,6627724170900,6627760025800,35854900,-1
440,1,STEP,6627761346200,6627788503200,27157000,-1
441,1,STEP,6627790005500,6627823276900,33271400,-1
442,1,STEP,6627825197000,6627850928600,25731600,-1
443,1,STEP,6627852294000,6627894865900,42571900,-1
444,1,STEP,6627896451400,6627940406600,43955200,-1
445,1,STEP,6627941877300,6627982970600,41093300,-1
446,1,STEP,6627986696400,6628014064900,27368500,-1
447,1,STEP,6628015510100,6628048188700,32678600,-1
448,1,STEP,6628049704600,6628074316300,24611700,-1
449,1,STEP,6628075991700,6628119591100,43599400,-1
450,1,STEP,6628120997400,6628168178500,47181100,-1
451,1,STEP,6628169630400,6628208972800,39342400,-1
452,1,STEP,6628211033700,6628246610900,35577200,-1
453,1,STEP,6628254557700,6628297070300,42512600,-1
454,1,STEP,6628298705800,6628328719400,30013600,-1
455,1,STEP,6628336031900,6628378797700,42765800,-1
456,1,STEP,6628383403200,6628423038800,39635600,-1
457,1,STEP,6628424988100,6628476142300,51154200,-1
458,1,STEP,6628477505600,6628519432000,41926400,-1
459,1,STEP,6628529464200,6628582195400,52731200,-1
460,1,STEP,6628583493300,6628635750300,52257000,-1
461,1,STEP,6628637103100,6628685560500,48457400,-1
462,1,STEP,6628687146700,6628726333800,39187100,-1
